category	author	source	rating	sourcetype	rights	year	sourceid	title	body	rightsowner	webpage	minortitle	sourcelink	authorlink	dateadded	authorinfo	itemid	publisher	city	pages	authorfilename	authorwikimediapage	authorlastnamefirst	authorlastnamestrong	linkedtags	sourceline	rightsline
Design	Eric Abrahamson and David H. Freeman	A Perfect Mess: The Hidden Benefits of Disorder	3	Book	Copyright	2006	0316114758	Keep Creating throughout the Construction Process	<p> As it turns out, Gehry is concerned not with the precise angles or dimensions of a building, but with the emotional impression it instills in observers and inhabitants. The ability to convey this impression is elusive and fragile, he maintains, and can easily be lost in the neat, unambiguous precision of a two-dimensional drawing. </p> <p> To capture the building's intended emotional content, Gehry maintains, everyone working on the building should keep creating throughout the construction process. Withholding blueprints is a way of making sure that happens. Forgoing a detailed plan is disruptive it creates convolution, making a neat and well-defined process messy. </p>	Eric Abrahamson and David H. Freeman					2008-10-07T18:07:49-07:00		2				eric_abrahamson_and_david_h_freeman	Eric_Abrahamson_and_David_H._Freeman	Abrahamson, Eric and Freeman, David H.	Eric <strong>Abrahamson</strong> and David H. <strong>Freeman</strong>	<a href='../tags/design.html' rel='tag'>Design</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>A Perfect Mess: The Hidden Benefits of Disorder</cite>, <span class='datepublished'>2006</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0316114758/portablewisdo-20' class='isbn'>0316114758</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>2006</span> by <span class='rightsowner'>Eric Abrahamson and David H. Freeman</span>
Design, Civ3M	Ansel Adams	unknown	3	unknown				Fuzzy Concept	<p> There is nothing worse than a brilliant image of a fuzzy concept. </p>						2010-10-02T09:53:36-07:00		1				ansel_adams	Ansel_Adams	Adams, Ansel	Ansel <strong>Adams</strong>	<a href='../tags/design.html' rel='tag'>Design</a>, <a href='../tags/civ3m.html' rel='tag'>Civ3M</a>		
Thought	Margery Allingham	Dancers In Mourning	3	Book	Copyright	1934	1933397985	A Dark Procession	<p> Mercer did not think at all in the accepted sense of the word. Ideas occurred to him and engendered other ideas. But the process which linked any two of them was a dark procession taking place in some subconscious part of the brain. </p>	Doubleday and Company, Inc.					2008-05-21T19:25:38-07:00		4				margery_allingham	Margery_Allingham	Allingham, Margery	Margery <strong>Allingham</strong>	<a href='../tags/thought.html' rel='tag'>Thought</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Dancers In Mourning</cite>, <span class='datepublished'>1934</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1933397985/portablewisdo-20' class='isbn'>1933397985</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1934</span> by <span class='rightsowner'>Doubleday and Company, Inc.</span>
Modernity	Margery Allingham	The Tiger in the Smoke	3	Book	Copyright	1952	0099477734	Merely Thoroughly Outrageous	<p> He made the discovery with a certain amount of relief, since it took him at least out of the region of pure fantasy and into the merely thoroughly outrageous, with which as a modern he was by now more or less familiar. </p>	Margery Allingham Carter					2007-10-24T18:20:11-07:00		8				margery_allingham	Margery_Allingham	Allingham, Margery	Margery <strong>Allingham</strong>	<a href='../tags/modernity.html' rel='tag'>Modernity</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Tiger in the Smoke</cite>, <span class='datepublished'>1952</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0099477734/portablewisdo-20' class='isbn'>0099477734</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1952</span> by <span class='rightsowner'>Margery Allingham Carter</span>
Thought	Margery Allingham	Dancers In Mourning	3	Book	Copyright	1934	1933397985	Occasions When the Intellect Retires Gracefully	<p> There are occasions when the intellect retires gracefully from a situation entirely behind its decorous control and leaves all the other complicated machinery of the mind to muddle through on its own. </p>	Doubleday and Company, Inc.					2008-05-21T19:41:18-07:00		5				margery_allingham	Margery_Allingham	Allingham, Margery	Margery <strong>Allingham</strong>	<a href='../tags/thought.html' rel='tag'>Thought</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Dancers In Mourning</cite>, <span class='datepublished'>1934</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1933397985/portablewisdo-20' class='isbn'>1933397985</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1934</span> by <span class='rightsowner'>Doubleday and Company, Inc.</span>
Thought	Margery Allingham	Dancers In Mourning	3	Book	Copyright	1934	1933397985	The Only Sign of Mental Activity	<p> The other pictures varied between the sentimentally lewd and the illustrated Scotch joke variety wherein Glengarried dogs take the place of figures. There were no books and a small writing table with drawers was the only sign of mental activity. </p>	Doubleday and Company, Inc.					2008-05-21T19:37:17-07:00		6				margery_allingham	Margery_Allingham	Allingham, Margery	Margery <strong>Allingham</strong>	<a href='../tags/thought.html' rel='tag'>Thought</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Dancers In Mourning</cite>, <span class='datepublished'>1934</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1933397985/portablewisdo-20' class='isbn'>1933397985</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1934</span> by <span class='rightsowner'>Doubleday and Company, Inc.</span>
Modernity	Margery Allingham	Dancers In Mourning	3	Book	Copyright	1934	1933397985	The Sanctity and Importance of Sudden Death	<p> ... in an age when all the deepest emotions can be successfully laughed out of existence by any decently educated person, the sanctity and importance of sudden death was a comforting and salutary thing, a last little rock, as it were, in the shifty sands of one's own standards and desires. </p>	Doubleday and Company, Inc.					2008-05-21T19:15:37-07:00		7				margery_allingham	Margery_Allingham	Allingham, Margery	Margery <strong>Allingham</strong>	<a href='../tags/modernity.html' rel='tag'>Modernity</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Dancers In Mourning</cite>, <span class='datepublished'>1934</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1933397985/portablewisdo-20' class='isbn'>1933397985</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1934</span> by <span class='rightsowner'>Doubleday and Company, Inc.</span>
Decisions, Civ3M	Chris Argyris and Donald Schön	Theory in Practice: Increasing Personal Effectiveness	3	Book	Copyright	1974	1555424465	Model II Decision-Making	<p> Model II encourages the individual to maximize his uniqueness. If, in doing so, he should arrive at goals that differ from those developed by others, he will have done so under conditions of openness, trust and risk-taking. The individual would therefore feel free to discuss his differences openly with the group. Moreover, if the individual is in a subordinate power position, and if he feels he had adequate opportunity to dissuade the group and that the group publicly confronted and tested all differences, then the individual will probably be motivated to work toward the group goal but still be motivated to generate new information that may change the group's decision. This means that one can be externally committed to a decision and internally committed to the decision-making processes that produced the decision yet simultaneously monitor the consequences of the decision thoroughly to seek new, valid information to reconfront the decision without being considered disloyal. In the model-II world, conflicts do not disappear&#8212;indeed, the illusion of conflict disappearing is more typical of the model-I world, in which conflicts are settled by power plays based on sanctions, charisma or loyalty. </p>	John Wiley & Sons, Inc.					2008-10-18T11:12:38-07:00		9	Jossey-Bass Publishers	San Francisco	103	chris_argyris_and_donald_schn	Chris_Argyris_and_Donald_Schön	Argyris, Chris and Schön, Donald	Chris <strong>Argyris</strong> and Donald <strong>Schön</strong>	<a href='../tags/decisions.html' rel='tag'>Decisions</a>, <a href='../tags/civ3m.html' rel='tag'>Civ3M</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Theory in Practice: Increasing Personal Effectiveness</cite>, <span class='city'>San Francisco</span>: <span class='publisher'>Jossey-Bass Publishers</span>, <span class='datepublished'>1974</span>, page&nbsp;<span class='pages'>103</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1555424465/portablewisdo-20' class='isbn'>1555424465</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1974</span> by <span class='rightsowner'>John Wiley &amp; Sons, Inc.</span>
Values, Civ3M	Chris Argyris and Donald Schön	Theory in Practice: Increasing Personal Effectiveness	3	Book	Copyright	1974	1555424465	Model II Values	<p> Clearly, Model II touches on values that are central to social life and to the traditions of moral philosophy: freedom of choice, truth and testability, the nature of commitment, the possibilities for and limitations on openness in communication among individuals, the basis for trust and cooperation among human beings, the sources of long-term personal effectiveness. </p>	John Wiley & Sons, Inc.					2008-10-16T20:49:39-07:00		10	Jossey-Bass Publishers	San Francisco	xxiv	chris_argyris_and_donald_schn	Chris_Argyris_and_Donald_Schön	Argyris, Chris and Schön, Donald	Chris <strong>Argyris</strong> and Donald <strong>Schön</strong>	<a href='../tags/values.html' rel='tag'>Values</a>, <a href='../tags/civ3m.html' rel='tag'>Civ3M</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Theory in Practice: Increasing Personal Effectiveness</cite>, <span class='city'>San Francisco</span>: <span class='publisher'>Jossey-Bass Publishers</span>, <span class='datepublished'>1974</span>, page&nbsp;<span class='pages'>xxiv</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1555424465/portablewisdo-20' class='isbn'>1555424465</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1974</span> by <span class='rightsowner'>John Wiley &amp; Sons, Inc.</span>
Thought, Civ3M	Aristotle	unknown	3	unknown				Entertain a Thought	<p> It is the mark of an educated mind to be able to entertain a thought without accepting it. </p>						2006-11-30T14:29:31-08:00		11				aristotle	Aristotle	Aristotle	<strong>Aristotle</strong>	<a href='../tags/thought.html' rel='tag'>Thought</a>, <a href='../tags/civ3m.html' rel='tag'>Civ3M</a>		
