category	author	source	rating	sourcetype	rights	year	sourceid	title	body	rightsowner	webpage	minortitle	sourcelink	authorlink	dateadded	authorinfo	itemid	publisher	city	pages	authorfilename	authorlastnamefirst	authorlastnamestrong	linkedtags	sourceline	rightsline
Simplicity	Alan Kay	The Simplicity Shift: Innovative Design Tactics in a Corporate World	3	Book	Copyright	2002	052152749X	Simple Things Should be Simple	<p> Simple things should be simple and complex things should be possible. </p>	Scott Jenson					2008-10-12T14:24:05-07:00		142	Cambridge University Press	Cambridge, United Kingdom	73	alan_kay	Kay, Alan	Alan <strong>Kay</strong>	<a href='../tags/simplicity' rel='tag'>Simplicity</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Simplicity Shift: Innovative Design Tactics in a Corporate World</cite>, <span class='city'>Cambridge, United Kingdom</span>: <span class='publisher'>Cambridge University Press</span>, <span class='datepublished'>2002</span>, page&nbsp;<span class='pages'>73</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/052152749X/portablewisdo-20' class='isbn'>052152749X</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>2002</span> by <span class='rightsowner'>Scott Jenson</span>
Software Development.Requirements	Alan M. Davis	201 Principles of Software Development	3	Book	Copyright	1995	0070158401	Difficulty of Requirements Discovery	<p> Requirements are hard to understand and harder to specify. The wrong solution to this problem is to do a slipshod job of requirements specification, and rush ahead to design and code.... The right solution is to do whatever it takes to learn as many of the requirements as possible <i>now</i>. Do prototyping. Talk with more customers. Work for a month with a customer to get to know his or her job firsthand. Collect data. Do whatever it takes. </p>	McGraw-Hill, Inc.					2006-11-30T14:29:30-08:00		1				alan_m_davis	Davis, Alan M.	Alan M. <strong>Davis</strong>	<a href='../tags/software_development-requirements' rel='tag'>Software Development.Requirements</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>201 Principles of Software Development</cite>, <span class='datepublished'>1995</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0070158401/portablewisdo-20' class='isbn'>0070158401</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1995</span> by <span class='rightsowner'>McGraw-Hill, Inc.</span>
Design	Alan M. Davis	201 Principles of Software Development	3	Book	Copyright	1995	0070158401	Multiple Design Approaches	<p> A critical aspect of all engineering disciplines is the elaboration of multiple approaches, trade-off analyses among them, and the eventual adoption of one. After requirements are agreed upon, you <i>must</i> examine a variety of architectures and algorithms. </p>	McGraw-Hill, Inc.					2006-11-30T14:29:30-08:00		2				alan_m_davis	Davis, Alan M.	Alan M. <strong>Davis</strong>	<a href='../tags/design' rel='tag'>Design</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>201 Principles of Software Development</cite>, <span class='datepublished'>1995</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0070158401/portablewisdo-20' class='isbn'>0070158401</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1995</span> by <span class='rightsowner'>McGraw-Hill, Inc.</span>
Software Development.Requirements	Alan M. Davis	Just Enough Requirements Management: Where Software Development Meets Marketing	3	Book	Copyright	2005	0932633641	Just Enough Requirements	<p> If you do not pay enough attention to requirements, you endanger the project's success by introducing too much risk. If you pay too much attention to requirements, you overburden the project and raise the likelihood of being late and over-budget. </p>	Alan M. Davis					2006-11-30T14:29:30-08:00		3				alan_m_davis	Davis, Alan M.	Alan M. <strong>Davis</strong>	<a href='../tags/software_development-requirements' rel='tag'>Software Development.Requirements</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Just Enough Requirements Management: Where Software Development Meets Marketing</cite>, <span class='datepublished'>2005</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0932633641/portablewisdo-20' class='isbn'>0932633641</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>2005</span> by <span class='rightsowner'>Alan M. Davis</span>
Software Development.Requirements	Alan M. Davis	Just Enough Requirements Management: Where Software Development Meets Marketing	3	Book	Copyright	2005	0932633641	Level of Requirements Detail	<p> Furthermore, it is impossible for a consultant to walk into your office, examine a requirement, and tell you that it is either too detailed or too vague. The correct level of detail is completely dependent on the needs of the customer. </p>	Alan M. Davis					2006-11-30T14:29:31-08:00		4				alan_m_davis	Davis, Alan M.	Alan M. <strong>Davis</strong>	<a href='../tags/software_development-requirements' rel='tag'>Software Development.Requirements</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Just Enough Requirements Management: Where Software Development Meets Marketing</cite>, <span class='datepublished'>2005</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0932633641/portablewisdo-20' class='isbn'>0932633641</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>2005</span> by <span class='rightsowner'>Alan M. Davis</span>
Software Development.Requirements	Alan M. Davis	Just Enough Requirements Management: Where Software Development Meets Marketing	3	Book	Copyright	2005	0932633641	Lists of Requirements	<p> The bulleted list of requirements is by far the most cost-effective and beneficial approach. It is simple to create; it is simple to read, regardless of background; and, when stored in a spreadsheet, database, or requirements management tool and augmented with annotations, it has incredible benefits to project management. </p>	Alan M. Davis					2006-11-30T14:29:31-08:00		5				alan_m_davis	Davis, Alan M.	Alan M. <strong>Davis</strong>	<a href='../tags/software_development-requirements' rel='tag'>Software Development.Requirements</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Just Enough Requirements Management: Where Software Development Meets Marketing</cite>, <span class='datepublished'>2005</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0932633641/portablewisdo-20' class='isbn'>0932633641</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>2005</span> by <span class='rightsowner'>Alan M. Davis</span>
Software Development.Requirements	Alan M. Davis	Just Enough Requirements Management: Where Software Development Meets Marketing	3	Book	Copyright	2005	0932633641	Requirements Elicitation, Triage and Specification	<p> The primary components of requirements management are requirements elicitation, requirements triage and requirements specification. </p>	Alan M. Davis					2006-11-30T14:29:31-08:00		6				alan_m_davis	Davis, Alan M.	Alan M. <strong>Davis</strong>	<a href='../tags/software_development-requirements' rel='tag'>Software Development.Requirements</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Just Enough Requirements Management: Where Software Development Meets Marketing</cite>, <span class='datepublished'>2005</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0932633641/portablewisdo-20' class='isbn'>0932633641</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>2005</span> by <span class='rightsowner'>Alan M. Davis</span>
Human Spirit	Albert Camus	Lyrical and Critical Essays	3	Book		1952	0394708520	An Invincible Summer	<p> In the depths of winter, I finally learned that within me there lay an invincible summer. </p>			Return to Tipasa			2008-08-05T16:02:04-07:00		133	Vintage			albert_camus	Camus, Albert	Albert <strong>Camus</strong>	<a href='../tags/human_spirit' rel='tag'>Human Spirit</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Lyrical and Critical Essays</cite>, <cite class='minortitle'>&#8220;Return to Tipasa&#8221;</cite>, <span class='publisher'>Vintage</span>, <span class='datepublished'>1952</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0394708520/portablewisdo-20' class='isbn'>0394708520</a> 	
Work	Albert Camus	unknown	3	unknown				Work, Soul and Life	<p> Without work, all life goes rotten. But when work is soulless, life stifles and dies. </p>						2008-01-25T08:18:43-08:00		117				albert_camus	Camus, Albert	Albert <strong>Camus</strong>	<a href='../tags/work' rel='tag'>Work</a>		
Simplicity	Albert Einstein	On the Method of Theoretical Physics	3	Lecture		1933		The Supreme Goal of All Theory	<p> ...the supreme goal of all theory is to make the irreducible basic elements as simple and as few as possible without having to surrender the adequate representation of a single datum of experience. </p>						2008-07-13T08:55:57-07:00		126				albert_einstein	Einstein, Albert	Albert <strong>Einstein</strong>	<a href='../tags/simplicity' rel='tag'>Simplicity</a>	the <span class='sourcetype'>Lecture</span> <cite class='majortitle'>On the Method of Theoretical Physics</cite>, <span class='datepublished'>1933</span>	
