tags	Tag1	Tag2	Tag3	Tag4	Tag5	duedate	starttime	duration	alertprior	priority	status	assignedto	sequence	title	description	outcome	webpage	recursunit	recursevery	recursdayofweek	recurswithinmonth	duedateymd	type	length	lastmod	lastmoddateymd	linkedtags
Initial Release	Initial Release					10/03/2006	00:00 AM	N/A	N/A	3	9		1.0	Initial Release		This was the initial release of iWisdom.	http://www.powersurgepub.com/products/iwisdom.html	N/A	0	-1	-1	2006-10-03	Action	0	 	 	<a href='tags/initial-release.html' rel='tag'>Initial Release</a>
Bug Fix	Bug Fix					10/21/2006	00:00 AM	N/A	N/A	3	9		1.01	Corrected JVM Dependencies		Version 1.00 could only be run on Java 1.5. For Mac users, this meant it could only be run on Mac OS X 10.4. This has been corrected, and iWisdom can now be run on Java 1.4, and on Mac OS X 10.3.		N/A	0	-1	-1	2006-10-21	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
Bug Fix	Bug Fix					10/22/2006	00:00 AM	N/A	N/A	3	9		1.01	Corrected Intermittent Launch Error		iWisdom sometime refused to launch due to an initialization problem. This has been corrected.		N/A	0	-1	-1	2006-10-22	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
Minor Enhancement	Minor Enhancement					11/05/2006	00:00 AM	N/A	N/A	3	9		1.10	Added Speech as a Source Type		Added &quot;Speech&quot; as a valid Source Type.		N/A	0	-1	-1	2006-11-05	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Expanded Functionality	Expanded Functionality					11/07/2006	00:00 AM	N/A	N/A	3	9		1.10	Import Options Expanded		An import tab has been added. Two new XML import formats are now supported: the Quotation Markup Language (QML), and the Quotation Exchange Language (QEL). In addition, xml formats can now be imported from a Web URL, as well as from a local file. PortableWisdom.org, for example, now has <xml> links that can be used for imports.		N/A	0	-1	-1	2006-11-07	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Expanded Functionality	Expanded Functionality					11/11/2006	00:00 AM	N/A	N/A	3	9		1.10	Automatically Check for Later Version		The program can now check to see if a later version of iWisdom is available. On the Prefs Tab you may now check or uncheck a box to check this automatically whenever the program is launched. Just below the check box, a button is available to request that the version be checked immediately. An active Internet connection is required to check the latest version. If a newer version is available, you will be given an option to visit the Version History page in your Web browser. From there, you may proceed to the Downloads page if you would like to download the newer version.		N/A	0	-1	-1	2006-11-11	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
New Feature	New Feature					12/02/2006	00:00 AM	N/A	N/A	3	9		1.20	Added Ability to Generate RSS Feed		Added the ability to generate an RSS Feed. A new Collection tab allows you to specify information about the collection as a whole: information needed as part of an RSS feed. The date created is also captured for each wisdom item, allowing the wisdom to be sorted by this creation date, and adding another field needed for an RSS Feed. The default theme, portablewisdom1, now generates an RSS feed of the most recent five items added to the collection.		N/A	0	-1	-1	2006-12-02	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
Minor Enhancement	Minor Enhancement					12/03/2006	00:00 AM	N/A	N/A	3	9		1.21	Added Ctrl-W or Cmd-W command to resize window		In some cases, when using a computer with varying display configurations, iWisdom could &quot;remember&quot; where it was last positioned and end up not visible with the current screen configuration. In these cases, pressing Ctrl-W (on Windows systems) or Cmd-W (on Mac systems) will return the window to a standard size and location so that it will be visible.		N/A	0	-1	-1	2006-12-03	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Bug Fix	Bug Fix					12/04/2006	00:00 AM	N/A	N/A	3	9		1.21	Corrected Null File Import Error		Corrected a &quot;Null File&quot; message that was erroneously being generated when trying to import an XML file from a Web URL.		N/A	0	-1	-1	2006-12-04	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
Minor Enhancement	Minor Enhancement					01/29/2007	00:00 AM	N/A	N/A	3	9		1.30	Make First Name First clearer	Make it clearer somehow that author's names are to be entered first name first (Albert Einstein, not Einstein Albert).	Added a Tool Tip to Author field on the Edit Tab, to clarify that names are to be entered first name first.		N/A	0	-1	-1	2007-01-29	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Minor Enhancement	Minor Enhancement					 	00:00 AM	N/A	N/A	3	0			Make it possible to drop fields from list	Provide some way to drop fields from the List tab. Some people only want to see author's name and the body of the quotation, for example.			N/A	0	-1	-1	 	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Bug Fix	Bug Fix					01/29/2007	00:00 AM	N/A	N/A	3	9		1.30	Change title of body from Description to Body	Body of quotation shows up as &quot;Description&quot; in when transferring and accepting.	Changed some references to the Body of the item from &quot;Description&quot; to &quot;Body&quot;.		N/A	0	-1	-1	2007-01-29	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
